total_clay,total_lead,time
3037,1682,6.251120881
2778,1433,5.450837569
2644,1774,5.650640948
2766,1466,5.752142931
2315,1009,4.838366964
2332,793,4.656500768
3213,1631,6.04333979
1566,841,3.969329035
3036,1897,6.198152576
1805,1315,4.808607105
3008,1304,5.449050755
3359,1975,6.382417838
2405,861,4.623655074
2009,1419,4.930821078
3141,1550,5.419569155
3308,1424,5.892000731
1593,1076,4.444909478
1894,1149,5.060684042
2358,1586,5.495712442
942,482,3.10097326
3469,1519,5.877379116
3749,2022,6.842175275
2680,1826,5.799037652
2852,1640,5.577007776
2801,1006,5.686965759
1760,791,4.552167827
1562,1235,4.549771875
2284,1601,5.448950907
2228,1631,4.788789511
3340,1430,6.300466426
1510,1061,4.463132417
2840,1762,6.366024512
2187,1160,5.375114213
896,584,3.844405473
1441,845,4.139211267
2527,1229,4.874579992
3056,1067,5.514769296
2192,1426,5.121214922
2942,1842,6.69925136
1771,798,4.105197813
2502,1260,5.24417393
3288,1640,6.454029605
2250,1576,4.941591492
3289,1355,5.313195741
2443,1953,6.067966144
2981,1773,6.092933075
2372,1170,5.360543476
2633,1717,5.484006678
2695,1898,6.052064695
2889,1707,5.982864986
2499,1346,5.377585278
3278,1685,6.051321202
3038,1250,5.433240693
2368,1004,4.571265707
2026,1157,4.940946009
2453,1587,5.830463997
840,945,3.976168376
3060,1106,5.75431082
2054,1179,5.442990061
3056,1445,5.751313695
2381,768,4.591655904
1740,1292,4.354212851
2599,1386,5.384882218
1857,1028,4.686447226
2597,1534,5.832111592
2683,1538,5.555989194
1621,734,4.06901022
3740,2159,6.192622683
2150,1661,5.316126711
2375,1400,5.066375922
2579,1323,5.838771765
2396,1133,4.886111061
3524,1744,5.905827908
1414,1261,4.051258475
3002,1241,5.275510875
3185,1439,5.925774758
2626,1459,5.505885964
2915,2120,5.691771519
2625,1145,5.353428288
3087,986,5.240245845
2263,1542,5.222079304
3447,1943,6.095464683
2179,1136,4.952590543
2917,1528,6.228560525
2389,946,5.218469191
3971,2192,6.978428089
3185,1932,6.430380026
3291,1532,5.753673566
3344,1416,6.130491432
3598,1886,6.186562714
2561,1120,5.249275319
2483,1213,5.198966822
2989,1599,5.561953112
3123,1741,6.369921249
611,317,2.428278485
3004,1622,6.266694465
1488,1085,4.115192979
2539,1029,4.644948866
2112,1474,5.091294838
2032,981,4.90006086
3865,2074,7.086126547
3449,1907,6.667536276
3423,1564,6.120783769
1782,725,4.288689448
3640,1990,6.697904073
2739,835,5.289421428
1991,766,4.556421236
2103,1308,5.047430209
1908,1411,5.232171681
3903,2206,7.088643522
2907,1656,5.550380042
2928,1871,6.07317997
3494,1493,6.454869378
2890,586,4.852928375
1935,1255,4.748333211
1454,560,3.923970914
2722,790,5.015103312
3644,1544,6.004285414
2435,1462,5.290414723
2801,1097,5.433391392
1669,861,4.733992377
2046,1411,5.161219931
3408,1431,5.899631867
3437,1469,5.858298878
2823,1338,5.508550602
3168,2027,5.440763437
3007,998,4.93545172
2432,1386,5.579744482
2703,1317,5.856290431
2952,1366,5.705721287
3645,1651,6.627686168
2725,623,4.90969216
1922,1076,4.574666906
2357,1275,5.253562573
3354,2100,6.243199238
1822,1502,5.418586612
3040,1102,5.629549837
2742,1415,5.294086069
3743,1993,6.800212751
4003,2206,6.821742295
2700,1388,5.442209796
2474,1281,5.420392525
2474,1656,5.883882969
2905,1772,5.456830154
3363,1951,6.119378346
2665,2070,5.774222576
2542,1400,5.501764902
3465,1654,5.648377875
3176,1807,5.905843051
2880,1574,5.815940364
882,791,3.896332896
2654,1374,5.480414588
3127,1568,6.518653689
1503,684,4.045200892
2474,1345,5.486678674
1124,654,4.00392458
3027,1229,5.667224279
3257,1337,5.711440922
2908,1802,5.83710523
2739,1552,5.395953781
3212,1390,5.919443603
2438,813,4.694589025
3350,1712,6.050956302
4018,2093,6.497787225
1979,1119,4.943248086
2809,1801,5.700300585
2792,1373,5.293501965
2521,1356,5.642551541
899,496,3.522040125
2654,1838,5.903508518
3069,1252,5.561702955
1983,522,4.196186531
3316,2130,6.513208401
1688,1709,5.104491676
3427,1811,6.229306842
2525,719,4.401855628
2951,1685,6.255790726
2650,1407,5.604467469
2787,1328,5.116485112
1638,1628,5.327517326
2409,557,4.253936225
3644,1946,6.223750379
3451,1519,6.304469713
3839,2073,6.499707747
3493,1903,6.528248984
3543,1089,5.766608938
2453,926,4.828694363
1939,1393,4.91729933
2382,1921,5.357520321
2524,1763,5.818473388
3443,1643,5.755314253
3045,1943,6.00796377
1516,1124,4.808492129
3861,2238,6.952009599
2978,1892,5.94409017
1618,1534,4.972183092
2119,1777,5.458228503
3365,1564,6.309352388
2089,1256,4.637394463
3034,1929,5.974275045
2176,915,4.383953044
2419,830,4.724859141
3013,974,4.842717399
2263,993,4.69445129
2525,618,4.396698938
2053,377,4.057256743
2189,1679,5.421507197
2516,1564,5.53386547
3449,1638,6.329320705
1599,588,4.221042413
3284,1879,6.16837413
2647,1115,4.850019283
3885,2114,6.956598527
3124,1982,6.19455853
2233,1163,5.143909056
2534,1574,5.42901367
2648,1341,5.643690015
2891,1720,6.137591391
2818,1411,5.715725388
1832,1668,5.055356487
2155,1679,5.3550162
3740,2045,6.458394905
2172,1337,5.239699565
2561,774,4.805314019
3441,1556,6.237443471
2018,1552,4.853727676
2643,1177,5.525567133
1432,1400,4.671945
3856,1478,6.214674864
3561,1927,6.066846313
2443,1412,5.555019901
2992,1364,6.131453522
2381,946,5.13889195
2126,1224,5.083962342
2957,1450,5.549756007
3726,1990,6.343658445
3223,1625,6.366038026
2565,1534,5.655316905
3271,1682,6.443722475
2890,1740,6.130373234
2923,1383,5.999345428
1977,1920,5.568794158
1777,1582,4.74988162
3876,2042,6.782827979
1808,690,3.954755935
656,185,2.600887846
3315,1338,5.592596628
2320,1024,4.589589143
1306,333,3.95392311
3762,2050,6.325224915
3052,1418,5.513700016
2094,970,4.315978256
2306,1693,5.412822619
3633,1884,5.853637321
3245,2051,6.584369292
3235,1737,6.444339317
2830,1735,5.678019682
2307,891,4.83982295
1738,1658,4.844606642
3292,1547,5.729778942
3288,1534,5.182433702
3513,1918,6.148679143
2326,1815,5.519200561
3032,1489,5.786665383
2534,1409,5.513747344
1180,617,3.531153132
2483,1649,5.666024472
3656,1724,6.669103274
2197,962,4.916966669
1570,1090,4.415531745
1858,533,3.982442541
1825,929,4.787464245
2973,838,4.733693423
2572,1255,5.245813443
3591,1643,5.73493288
3831,2036,6.773222983
3206,1993,5.862763182
3107,1683,6.19413083
2693,1649,5.822200081
3129,1609,5.903848476
2866,1849,6.046720257
2751,809,5.106855388
2836,1839,5.892583186
3275,1369,6.006395227
1378,656,4.041152695
2978,1820,5.722948527
1918,1167,4.704304903
2789,1229,5.200976717
2734,1561,5.727834932
2995,1523,5.528991504
2253,772,4.907607448
2806,1519,5.65143681
4061,2141,6.726603553
2091,1451,4.991674596
2100,644,5.013849087
3168,1306,5.494453573
1954,1304,4.834887624
3052,1875,6.169169469
2172,1578,5.096516218
4147,2302,7.264413658
1970,1002,4.731598847
1570,869,4.597469595
3773,1908,6.366873829
1216,230,3.099547322
2949,1749,6.328974207
2634,1373,4.831897521
3201,1762,6.219089283
2340,1194,5.260616417
2548,824,5.217216057
1947,475,4.528575739
2069,1163,5.346306806
3323,1640,6.084463747
1392,968,4.411574336
3410,1729,6.751198214
3238,1760,6.162931639
2886,1550,6.413936939
2980,1326,5.213092303
2983,1850,6.163367713
2913,1075,5.698753623
2357,1493,5.195817863
2683,1925,5.546186694
2803,1241,5.923988735
3538,1680,6.119514076
2846,1512,5.984040311
688,194,2.801129525
1963,1345,5.483831809
3268,1698,6.179304159
3062,2017,6.514895868
3058,1807,5.047794114
2500,998,5.367171746
979,610,3.511270157
3464,1869,6.14710353
2577,1868,5.87106622
2428,1985,5.342824224
2563,1403,5.182282834
3055,1729,5.775047282
2842,1805,6.111860358
4064,2147,7.18191452
1505,640,3.240434583
2817,1669,6.186895181
2361,868,5.127590415
2691,1219,5.689551976
1934,1316,4.618782773
2815,613,4.586035286
3598,1561,6.285585006
3184,1955,6.034927113
2566,1633,5.247398673
1276,1119,3.843116469
2931,934,5.079017301
2796,1850,6.022651786
2828,1292,5.74047357
3124,1258,5.598896473
3332,2035,6.654727597
3251,1591,5.637075384
1416,1079,4.370734582
2163,1013,4.616006505
2532,1225,5.20736837
3319,1829,6.502026642
1553,1473,4.831772962
2716,1890,6.104236148
2159,555,4.165851562
2968,1623,5.697102151
2302,1631,5.702331335
2028,896,4.560348114
2710,1167,5.148486368
2681,1691,5.788665014
3140,1132,5.356003471
1734,603,3.648654717
2197,1427,5.271244106
2927,1569,5.989047697
1876,1898,4.728699797
2815,974,4.832884817
2306,715,4.259853612
2478,528,4.69830548
3253,1391,5.491775672
2812,1151,5.483931531
3671,1978,6.931802473
2387,1315,5.649691553
892,803,3.376643967
2110,1424,5.422345183
2372,1222,4.943313816
2862,1175,5.161488103
3212,1711,6.1362402
2259,1478,5.321598654
2971,1829,5.842961323
2015,1196,4.685748948
2959,1453,5.945197713
1711,1228,4.267945645
1905,504,4.055231117
3195,2191,6.019271407
2584,1809,5.855854539
2389,1976,6.056054455
3273,1759,6.378086251
3155,1147,5.641662444
1770,632,3.972048028
3940,2038,6.6607036
2712,1409,5.40999668
2508,1582,6.119466272
3132,1779,5.8327507
2558,1262,5.308872753
2476,1271,5.625855199
2463,1523,5.748221705
3599,1548,6.343825161
1652,740,4.243688054
1886,602,3.847442166
3143,1597,6.181053947
1808,1109,4.749508344
2716,1911,5.598548551
3323,1433,5.980589047
2362,1445,5.902505561
2271,809,4.599897799
3105,1606,5.955346078
3079,1329,5.639102617
2679,1293,5.392012882
2105,988,4.713042212
2673,2065,6.446483116
